Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
1380852,428897,425984,3,2014-03-08,13:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,63
1380791,428054,435266,2,2014-03-08,12:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,17
1380112,435539,438368,3,2014-03-08,01:48:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,38
1380828,435745,436866,2,2014-03-08,13:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,35
1390747,430442,437754,2,2014-03-09,11:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,25
1391022,431502,439988,1,2014-03-09,14:08:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,80
1390527,427286,434701,2,2014-03-09,08:50:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Female,58
1391182,444584,427870,1,2014-03-09,15:34:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver,Serious,Male,44
1391335,443071,440722,1,2014-03-09,16:25:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,53
1391658,426098,428269,2,2014-03-09,18:50:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,32
1390527,427286,434701,2,2014-03-09,08:50:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,27
1390139,428065,435017,2,2014-03-09,01:12:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,43
140096680,430278,434313,1,2014-03-09,02:00:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,29
140096680,430278,434313,1,2014-03-09,02:00:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,22
1390527,427286,434701,2,2014-03-09,08:50:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Serious,Male,28
1391128,427265,429573,2,2014-03-09,15:02:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver,Slight,Male,21
13A0930,430412,437824,2,2014-03-10,14:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Male,55
13A0504,430417,433473,1,2014-03-10,10:33:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Serious,Male,66
13A0340,430373,433501,1,2014-03-10,09:04:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious,Male,35
13H1020,426529,427462,2,2014-03-10,13:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
13A0258,426948,431887,2,2014-03-10,08:15:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,33
13B1202,430752,434606,2,2014-03-10,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Male,38
13B0933,428001,435414,2,2014-03-10,20:10:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,6
13B0933,428001,435414,2,2014-03-10,20:10:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,11
13B0933,428001,435414,2,2014-03-10,20:10:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,34
13A1983,429081,433520,1,2014-03-10,19:50:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,69
13A1716,431763,434920,3,2014-03-10,19:55:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,43
13A0547,435887,428211,2,2014-03-10,11:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,41
13A1569,427179,434996,2,2014-03-10,18:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Passenger,Slight,Female,18
13A1346,429071,438560,2,2014-03-10,17:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,27
13A1369,433727,434053,3,2014-03-10,17:23:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,37
13A1269,424189,434783,1,2014-03-10,16:46:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,15
13A1484,421063,434217,2,2014-03-10,18:11:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,46
13A1569,427179,434996,2,2014-03-10,18:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Female,38
13A1569,427179,434996,2,2014-03-10,18:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,19
13A1716,431763,434920,3,2014-03-10,19:55:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,24
13A1241,432651,436884,1,2014-03-10,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Male,2
13B0844,430842,439685,2,2014-03-11,14:27:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,19
13B0966,424944,435693,1,2014-03-11,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,9
13B0165,424597,445107,2,2014-03-11,07:13:00,A,Frost/Ice,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Passenger,Slight,Male,49
13B0165,424597,445107,2,2014-03-11,07:13:00,A,Frost/Ice,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Male,59
13B1726,430233,435116,2,2014-03-11,17:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,43
13B0159,424642,434453,1,2014-03-11,07:00:00,C,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,26
13B0844,430842,439685,2,2014-03-11,14:27:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,18
13B1000,433181,434012,2,2014-03-11,15:43:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,57
13C0182,429557,431568,3,2014-03-12,07:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,25
13C0533,427083,433353,2,2014-03-12,11:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Male,52
13C0794,437569,432828,1,2014-03-12,14:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Passenger,Slight,Female,33
13C0932,429757,434504,2,2014-03-12,15:43:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,30
13C1139,428128,432799,2,2014-03-12,17:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,60
13C1139,428128,432799,2,2014-03-12,17:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,24
13C1243,423341,433944,2,2014-03-12,17:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,12
13D1532,430122,433931,1,2014-03-13,19:31:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Pedestrian,Serious,Female,19
13D1047,428628,434846,2,2014-03-13,16:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,28
13D1367,426905,437500,2,2014-03-13,18:25:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,33
13E0793,431001,430771,1,2014-03-14,13:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,32
13E1621,431705,434161,1,2014-03-14,19:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Male,59
13E1560,423189,434669,2,2014-03-14,15:15:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,23
13E1456,429763,433924,1,2014-03-14,18:50:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,38
13E0964,431977,430314,2,2014-03-14,15:04:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,26
13E1326,422824,437426,2,2014-03-14,17:45:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver,Slight,Male,26
13E0964,431977,430314,2,2014-03-14,15:04:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,46
13F0439,423264,429759,2,2014-03-15,08:55:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,19
13F1387,430220,434373,2,2014-03-15,18:18:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,21
13F1387,430220,434373,2,2014-03-15,18:18:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,21
13B0318,435806,433195,1,2014-03-15,08:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,53
13F0092,427996,435194,3,2014-03-15,00:58:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Passenger,Slight,Female,27
13F0092,427996,435194,3,2014-03-15,00:58:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,26
13G1506,435855,426141,2,2014-03-16,19:59:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Passenger,Serious,Female,46
13G1506,435855,426141,2,2014-03-16,19:59:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver,Serious,Male,44
13G1491,431412,438792,2,2014-03-16,19:52:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Female,23
13G1190,425184,437759,2,2014-03-16,17:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Serious,Male,56
13G0847,423571,435451,2,2014-03-16,14:00:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,53
13G1506,435855,426141,2,2014-03-16,19:59:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Serious,Female,39
13G0153,426280,436703,2,2014-03-16,01:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,22
13H1135,417932,443178,2,2014-03-17,16:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,43
13H0001,428093,436746,2,2014-03-17,00:01:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Serious,Male,32
13H1290,427944,436111,2,2014-03-17,17:50:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,29
13H1290,427944,436111,2,2014-03-17,17:50:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Pedestrian,Slight,Female,31
13I1435,436072,435562,2,2014-03-18,19:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,48
13I1315,429076,432222,2,2014-03-18,16:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
13I1211,428433,429155,3,2014-03-18,17:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,46
13I1435,436072,435562,2,2014-03-18,19:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,45
13I0589,439961,429819,2,2014-03-18,07:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Male,32
13I0530,427995,436011,2,2014-03-18,11:30:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,17
13I0372,422219,433959,2,2014-03-18,09:45:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,40
13I0848,422422,440320,1,2014-03-18,14:26:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Passenger,Serious,Male,27
13I0372,422219,433959,2,2014-03-18,09:45:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Female,53
13I1211,428433,429155,3,2014-03-18,17:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,50
13R0938,428342,429522,1,2014-03-18,15:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Pedestrian,Slight,Female,53
13J0595,428969,432374,3,2014-03-19,12:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Female,25
13J1709,425264,432374,2,2014-03-19,20:30:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,20
13J1631,426340,427880,1,2014-03-19,20:23:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver,Slight,Male,19
13J1621,420429,440371,2,2014-03-19,20:16:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Serious,Male,46
13J1631,426340,427880,1,2014-03-19,20:23:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Passenger,Slight,Male,23
13J1522,436025,428954,2,2014-03-19,19:20:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,70
13J1191,433341,426310,1,2014-03-19,16:50:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,12
13J0641,429725,433797,1,2014-03-19,12:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious,Male,29
13J1600,430894,433487,1,2014-03-19,20:10:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious,Male,58
13J0595,428969,432374,3,2014-03-19,12:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Male,26
13K1360,441964,430747,2,2014-03-20,18:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,26
13K0302,435746,436957,2,2014-03-20,08:30:00,Unclassified,Dry,Daylight: Street lights present,Fine with high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,23
13K0579,430349,432103,2,2014-03-20,11:28:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,43
13K0579,430349,432103,2,2014-03-20,11:28:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,32
13K1040,428533,431789,2,2014-03-20,16:00:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Male,37
13K1360,441964,430747,2,2014-03-20,18:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,34
13L0235,440411,449270,1,2014-03-21,08:00:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,14
13L0279,419287,444956,2,2014-03-21,09:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,23
13L0388,441055,432040,2,2014-03-21,10:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,80
13L0388,441055,432040,2,2014-03-21,10:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,36
13L0588,432752,433899,2,2014-03-21,08:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,28
13L0588,432752,433899,2,2014-03-21,08:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,26
13L0870,432412,433608,3,2014-03-21,14:43:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,55
13L0918,430411,432774,2,2014-03-21,15:07:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,24
13L0966,426934,433318,1,2014-03-21,15:24:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,14
13L1105,428359,425453,2,2014-03-21,16:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver,Slight,Male,31
13L1513,431983,433425,2,2014-03-21,16:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,48
13L1684,429695,440820,2,2014-03-21,21:05:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,19
13L1684,429695,440820,2,2014-03-21,21:05:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,51
13M0649,431776,435617,1,2014-03-21,14:30:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Serious,Male,43
13L0228,442150,434453,2,2014-03-21,08:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,37
13L0228,442150,434453,2,2014-03-21,08:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,22
13M1660,430608,428392,2,2014-03-22,21:25:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,23
13M0454,430091,435427,2,2014-03-22,09:31:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,48
13M0454,430091,435427,2,2014-03-22,09:31:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,45
13M0677,432633,434930,1,2014-03-22,11:00:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,26
13M0191,430017,434106,1,2014-03-22,02:10:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,24
13N0595,436363,442994,2,2014-03-23,11:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,50
13N0837,429283,433483,2,2014-03-23,13:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,32
13N1021,415878,441903,2,2014-03-23,15:37:00,C,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,50
13N1371,432524,427558,2,2014-03-23,18:40:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,18
13N1371,432524,427558,2,2014-03-23,18:40:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,18
13N1371,432524,427558,2,2014-03-23,18:40:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,50
13Q0798,432441,433802,2,2014-03-23,15:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,27
13P1304,426885,437514,2,2014-03-24,08:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,60
13P1129,421434,434073,1,2014-03-24,17:00:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,46
13P1086,443621,445279,1,2014-03-24,18:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,77
13P0833,429643,432935,2,2014-03-24,07:58:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,37
13O1815,429601,432563,2,2014-03-24,21:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Female,42
13O1815,429601,432563,2,2014-03-24,21:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,23
13O1326,430295,432105,2,2014-03-24,16:53:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,24
13O0431,429206,430689,2,2014-03-24,10:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,36
13O0431,429206,430689,2,2014-03-24,10:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,45
13O0844,425113,431080,2,2014-03-24,14:14:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Passenger,Slight,Male,17
13O0950,432069,438283,2,2014-03-24,15:03:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,50
13O0187,431233,431502,1,2014-03-24,07:00:00,Unclassified,Frost/Ice,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Serious,Male,24
13O1289,429915,432727,2,2014-03-24,17:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,48
13O1465,418836,444983,1,2014-03-24,18:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,10
13O1210,429660,431505,1,2014-03-24,15:15:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,5
13P1022,433148,426330,2,2014-03-25,16:00:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,46
13P1326,430633,433696,2,2014-03-25,16:41:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,43
13Q0520,432305,436439,1,2014-03-25,10:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,81
13Q0406,429949,438539,1,2014-03-26,10:43:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,86
13Q1311,425552,435157,2,2014-03-26,19:01:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,37
13Q1501,426207,437136,2,2014-03-26,20:41:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Female,22
13Q1522,429309,435030,1,2014-03-26,20:50:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,25
13R1369,431959,435824,2,2014-03-27,14:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,61
13R1317,432513,427318,2,2014-03-27,18:50:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Female,8
13R1317,432513,427318,2,2014-03-27,18:50:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Female,9
13R1317,432513,427318,2,2014-03-27,18:50:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Male,32
13R1369,431959,435824,2,2014-03-27,14:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,56
13R0657,431258,438531,2,2014-03-27,13:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,18
13R0778,426120,439224,1,2014-03-27,14:56:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,3
13R0074,436075,436613,5,2014-03-27,02:10:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,20
13R0628,429931,433518,1,2014-03-27,13:21:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Female,65
13R0193,432973,425922,3,2014-03-27,07:54:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,28
13R0189,435059,427770,1,2014-03-27,07:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Pedestrian,Slight,Male,46
13R0193,432973,425922,3,2014-03-27,07:54:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,46
13S1444,430561,431184,2,2014-03-28,19:24:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,23
13S1444,430561,431184,2,2014-03-28,19:24:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,61
13S1215,430662,433929,2,2014-03-28,17:16:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,57
13S0860,427865,432921,2,2014-03-28,14:55:00,B,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Male,50
13S0767,431228,433668,2,2014-03-28,12:35:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Male,2
13S0767,431228,433668,2,2014-03-28,12:35:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,60
13S1092,428718,435615,2,2014-03-28,16:28:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,39
13S0610,430335,433394,1,2014-03-28,12:38:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,55
13S0767,431228,433668,2,2014-03-28,12:35:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,40
13S0339,432820,432033,2,2014-03-28,09:40:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Other Vehicle ,Driver,Slight,Male,26
13S0394,429941,425135,2,2014-03-28,10:25:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,32
13S0767,431228,433668,2,2014-03-28,12:35:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,25
13S0394,429941,425135,2,2014-03-28,10:25:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,21
13S0394,429941,425135,2,2014-03-28,10:25:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,56
